wwtp,day_index,sim,part.class,threshold_mode,hourly_settle_exposure_HRT,daily_settle_exposure_HRT,hourly_resusp_exposure_HRT,daily_resusp_exposure_HRT,difference_settle_hourly_minus_daily,difference_resusp_hourly_minus_daily
west,2,1,3,midpoint,0.8638654522632677,0.8621876782806166,0.08336837075418009,0.08414986577075588,0.0016777739826511207,-7.814950165757895e-4
west,2,1,4,midpoint,0.898107318674106,0.8977506559670262,0.05503355811965062,0.05529863406054853,3.566627070797912e-4,-2.650759408979117e-4
west,2,1,5,midpoint,0.9227096256879747,0.9240219983907587,0.0393764635831491,0.03941383210936694,-0.0013123727027840593,-3.7368526217843034e-5
west,2,1,6,midpoint,0.9393558125111157,0.9387620924222324,0.023233745394999096,0.023085944621330456,5.937200888832539e-4,1.4780077366863958e-4
west,2,1,7,midpoint,0.9484415315197201,0.9478976313806246,0.005992902143097048,0.003959532779683052,5.439001390955545e-4,0.002033369363413996
west,2,1,8,midpoint,0.954262819635735,0.9535025140715806,0,0,7.603055641544065e-4,0
west,3,1,1,midpoint,0.7422859828125423,0.724069189681636,0.2264442401493553,0.22647388970816085,0.018216793130906295,-2.964955880555009e-5
west,3,1,2,midpoint,0.8106716856013572,0.8071187392822695,0.18100413653156025,0.18629050743952183,0.0035529463190876465,-0.0052863709079615795
west,3,1,3,midpoint,0.8608908782705239,0.8587029241455147,0.08553104370359128,0.08627234075361787,0.0021879541250091616,-7.41297050026582e-4
west,3,1,4,midpoint,0.8955009597921518,0.8954535120129496,0.05617640425403097,0.0568297671554539,4.744777920218102e-5,-6.533629014229339e-4
west,3,1,5,midpoint,0.9211064597915937,0.9224543982965736,0.04022554022147658,0.04036967222694247,-0.0013479385049799397,-1.4413200546588983e-4
west,3,1,6,midpoint,0.9379698563261378,0.9369533862458603,0.02375605718289698,0.023574814013139114,0.0010164700802774984,1.8124316975786509e-4
west,3,1,7,midpoint,0.9472658449420063,0.9460811358119925,0.006128276993686075,0.004028241140364394,0.0011847091300137835,0.0021000358533216808
west,3,1,8,midpoint,0.9532601170106625,0.9522941328298166,0,0,9.659841808459246e-4,0
west,4,1,1,midpoint,0.7421355460202583,0.7212026765036972,0.2266449577892006,0.22742363031508342,0.020932869516561148,-7.786725258828175e-4
west,4,1,2,midpoint,0.8105297353692487,0.8054769752913464,0.18095122330739752,0.18626664579750443,0.00505276007790223,-0.005315422490106914
west,4,1,3,midpoint,0.8610207962972443,0.8587065564399436,0.0854671476925035,0.08643373810727711,0.002314239857300615,-9.665904147736076e-4
west,4,1,4,midpoint,0.8956737785066007,0.8956674434538866,0.056135876328126146,0.055942877727730565,6.335052714079303e-6,1.9299860039558026e-4
west,4,1,5,midpoint,0.921141249600577,0.9224171735534628,0.04015530518789573,0.04032581337957507,-0.0012759239528857824,-1.7050819167933884e-4
west,4,1,6,midpoint,0.9382116376525629,0.9376162150931769,0.02367577194204623,0.02363039767256673,5.954225593859386e-4,4.5374269479502016e-5
west,4,1,7,midpoint,0.9474144758116598,0.9467295519599148,0.0060942194520937935,0.004058685475118257,6.849238517450118e-4,0.002035533976975537
west,4,1,8,midpoint,0.9534152162465719,0.9523154638329772,0,0,0.0010997524135947234,0
west,5,1,1,midpoint,0.7369454289417058,0.7151240269287692,0.2307896464838256,0.2320745713868646,0.021821402012936586,-0.0012849249030389975
west,5,1,2,midpoint,0.806820423455398,0.8023961142945305,0.18474420254179255,0.19087153927008318,0.004424309160867446,-0.006127336728290633
west,5,1,3,midpoint,0.8577840750688303,0.8549947538197845,0.0871214956485173,0.08861898685951204,0.0027893212490457397,-0.0014974912109947391
west,5,1,4,midpoint,0.8934646109663676,0.8935189709412675,0.057474592685018235,0.05795646347566061,-5.4359974899886865e-5,-4.818707906423733e-4
west,5,1,5,midpoint,0.9195125093107631,0.9208015007551926,0.04102395578631284,0.04130863340409699,-0.0012889914444295103,-2.846776177841473e-4
west,5,1,6,midpoint,0.9366352314387101,0.9358220437819256,0.024222203820359833,0.024137359115343943,8.131876567845087e-4,8.484470501589e-5
west,5,1,7,midpoint,0.9462045009546298,0.9451354640062194,0.006216454491824248,0.004033199916868155,0.001069036948410429,0.002183254574956093
west,5,1,8,midpoint,0.9523561021412363,0.9514470973534473,0,0,9.090047877889917e-4,0
west,6,1,1,midpoint,0.7555021040558643,0.7295662014470564,0.21242059887044923,0.21836407926730897,0.025935902608807848,-0.0059434803968597405
west,6,1,2,midpoint,0.8184188685179329,0.8132457348758124,0.17178388957489205,0.18072723716166111,0.005173133642120464,-0.008943347586769068
west,6,1,3,midpoint,0.8681858037124149,0.8659648875532441,0.08142875545679329,0.08232014085198608,0.0022209161591708604,-8.913853951927897e-4
west,6,1,4,midpoint,0.8998399931545001,0.9004461619881328,0.053835088932087584,0.05392963773798048,-6.061688336326254e-4,-9.454880589289394e-5
west,6,1,5,midpoint,0.9254137235249333,0.9256511773652273,0.03775463198206314,0.03834737957429963,-2.3745384029394412e-4,-5.927475922364867e-4
west,6,1,6,midpoint,0.9410525258736685,0.9396320427151483,0.022412011893244314,0.022613143990944617,0.0014204831585201694,-2.011320977003024e-4
west,6,1,7,midpoint,0.9496397390290665,0.9494351286912531,0.005721814247715937,0.0034572046580719946,2.0461033781338234e-4,0.002264609589643942
west,6,1,8,midpoint,0.9556873873353374,0.9545533870197619,0,0,0.001134000315575534,0
