wwtp,part.class,bin,count,level,bin_left,bin_right,bin_mid
north,8,4,3739,Pipe,0.2,0.25,0.225
north,5,16,55422,Pipe,0.8,0.8500000000000001,0.8250000000000001
north,7,9,12001,Pipe,0.45,0.5,0.47500000000000003
north,2,9,25850,Pipe,0.45,0.5,0.47500000000000003
north,6,2,22473,Pipe,0.1,0.15000000000000002,0.125
south,1,2,6015,Pipe,0.1,0.15000000000000002,0.125
south,2,17,5938,Pipe,0.8500000000000001,0.9,0.875
south,6,10,3538,Pipe,0.5,0.55,0.525
south,4,3,4065,Pipe,0.15000000000000002,0.2,0.17500000000000002
south,5,12,5078,Pipe,0.6000000000000001,0.65,0.625
north,7,4,8731,Pipe,0.2,0.25,0.225
south,7,10,1668,Pipe,0.5,0.55,0.525
south,8,16,2790,Pipe,0.8,0.8500000000000001,0.8250000000000001
south,3,10,3718,Pipe,0.5,0.55,0.525
south,3,7,4305,Pipe,0.35000000000000003,0.4,0.375
south,4,18,12230,Pipe,0.9,0.9500000000000001,0.925
south,3,2,4747,Pipe,0.1,0.15000000000000002,0.125
south,4,9,3661,Pipe,0.45,0.5,0.47500000000000003
south,5,15,7190,Pipe,0.75,0.8,0.775
south,1,3,4867,Pipe,0.15000000000000002,0.2,0.17500000000000002
south,2,18,7728,Pipe,0.9,0.9500000000000001,0.925
south,6,2,2583,Pipe,0.1,0.15000000000000002,0.125
south,7,12,2064,Pipe,0.6000000000000001,0.65,0.625
south,2,3,5045,Pipe,0.15000000000000002,0.2,0.17500000000000002
west,3,10,2608,Pipe,0.5,0.55,0.525
west,7,3,640,Pipe,0.15000000000000002,0.2,0.17500000000000002
north,8,12,8492,Pipe,0.6000000000000001,0.65,0.625
north,8,15,12333,Pipe,0.75,0.8,0.775
north,1,16,9075,Pipe,0.8,0.8500000000000001,0.8250000000000001
west,4,16,4049,Pipe,0.8,0.8500000000000001,0.8250000000000001
west,4,15,3597,Pipe,0.75,0.8,0.775
west,1,8,3146,Pipe,0.4,0.45,0.42500000000000004
west,2,19,52533,Pipe,0.9500000000000001,1,0.9750000000000001
west,3,19,104334,Pipe,0.9500000000000001,1,0.9750000000000001
west,5,5,1885,Pipe,0.25,0.30000000000000004,0.275
west,6,14,1800,Pipe,0.7000000000000001,0.75,0.7250000000000001
west,4,3,2428,Pipe,0.15000000000000002,0.2,0.17500000000000002
west,1,16,2148,Pipe,0.8,0.8500000000000001,0.8250000000000001
west,1,1,7505,Pipe,0.05,0.1,0.07500000000000001
west,2,13,3329,Pipe,0.65,0.7000000000000001,0.675
west,3,18,7436,Pipe,0.9,0.9500000000000001,0.925
south,8,8,970,Pipe,0.4,0.45,0.42500000000000004
south,6,11,3703,Pipe,0.55,0.6000000000000001,0.5750000000000001
south,6,4,2813,Pipe,0.2,0.25,0.225
south,7,17,5170,Pipe,0.8500000000000001,0.9,0.875
south,3,16,4865,Pipe,0.8,0.8500000000000001,0.8250000000000001
south,6,13,3987,Pipe,0.65,0.7000000000000001,0.675
south,3,9,4034,Pipe,0.45,0.5,0.47500000000000003
south,2,7,3620,Pipe,0.35000000000000003,0.4,0.375
north,2,6,29873,Pipe,0.30000000000000004,0.35000000000000003,0.325
north,3,14,34952,Pipe,0.7000000000000001,0.75,0.7250000000000001
south,5,1,4962,Pipe,0.05,0.1,0.07500000000000001
south,6,8,2998,Pipe,0.4,0.45,0.42500000000000004
west,1,7,3232,Pipe,0.35000000000000003,0.4,0.375
west,1,5,3854,Pipe,0.25,0.30000000000000004,0.275
south,6,14,4169,Pipe,0.7000000000000001,0.75,0.7250000000000001
south,7,14,2268,Pipe,0.7000000000000001,0.75,0.7250000000000001
south,4,14,4593,Pipe,0.7000000000000001,0.75,0.7250000000000001
west,2,1,5571,Pipe,0.05,0.1,0.07500000000000001
west,3,3,2713,Pipe,0.15000000000000002,0.2,0.17500000000000002
west,4,10,2376,Pipe,0.5,0.55,0.525
west,5,15,2926,Pipe,0.75,0.8,0.775
north,2,8,26760,Pipe,0.4,0.45,0.42500000000000004
