wwtp,bin,count,bin_left,bin_right,bin_mid,mean_value,median_value,scenario
west,19,18438,0.9500000000000001,1,0.9750000000000001,0.18905307471923605,0.06378824793210347,Highly Skewed
west,18,8384,0.9,0.9500000000000001,0.925,0.18905307471923605,0.06378824793210347,Highly Skewed
west,3,49027,0.15000000000000002,0.2,0.17500000000000002,0.18905307471923605,0.06378824793210347,Highly Skewed
west,6,10151,0.30000000000000004,0.35000000000000003,0.325,0.18905307471923605,0.06378824793210347,Highly Skewed
west,14,7856,0.7000000000000001,0.75,0.7250000000000001,0.18905307471923605,0.06378824793210347,Highly Skewed
west,12,6463,0.6000000000000001,0.65,0.625,0.18905307471923605,0.06378824793210347,Highly Skewed
west,8,10440,0.4,0.45,0.42500000000000004,0.18905307471923605,0.06378824793210347,Highly Skewed
west,11,5681,0.55,0.6000000000000001,0.5750000000000001,0.18905307471923605,0.06378824793210347,Highly Skewed
west,13,7214,0.65,0.7000000000000001,0.675,0.18905307471923605,0.06378824793210347,Highly Skewed
west,17,7162,0.8500000000000001,0.9,0.875,0.18905307471923605,0.06378824793210347,Highly Skewed
west,16,7013,0.8,0.8500000000000001,0.8250000000000001,0.18905307471923605,0.06378824793210347,Highly Skewed
west,9,8679,0.45,0.5,0.47500000000000003,0.18905307471923605,0.06378824793210347,Highly Skewed
west,15,8206,0.75,0.8,0.775,0.18905307471923605,0.06378824793210347,Highly Skewed
north,17,426268,0.8500000000000001,0.9,0.875,0.7077246493629378,0.7193651865937339,Homogeneous
north,12,434807,0.6000000000000001,0.65,0.625,0.7077246493629378,0.7193651865937339,Homogeneous
north,11,216032,0.55,0.6000000000000001,0.5750000000000001,0.7077246493629378,0.7193651865937339,Homogeneous
north,10,371325,0.5,0.55,0.525,0.7077246493629378,0.7193651865937339,Homogeneous
north,14,451780,0.7000000000000001,0.75,0.7250000000000001,0.7077246493629378,0.7193651865937339,Homogeneous
north,18,311452,0.9,0.9500000000000001,0.925,0.7077246493629378,0.7193651865937339,Homogeneous
north,16,349576,0.8,0.8500000000000001,0.8250000000000001,0.7077246493629378,0.7193651865937339,Homogeneous
north,15,419488,0.75,0.8,0.775,0.7077246493629378,0.7193651865937339,Homogeneous
north,13,334181,0.65,0.7000000000000001,0.675,0.7077246493629378,0.7193651865937339,Homogeneous
north,9,376769,0.45,0.5,0.47500000000000003,0.7077246493629378,0.7193651865937339,Homogeneous
north,19,280961,0.9500000000000001,1,0.9750000000000001,0.7077246493629378,0.7193651865937339,Homogeneous
north,0,4500,0,0.05,0.025,0.7077246493629378,0.7193651865937339,Homogeneous
north,8,207046,0.4,0.45,0.42500000000000004,0.7077246493629378,0.7193651865937339,Homogeneous
north,7,6315,0.35000000000000003,0.4,0.375,0.7077246493629378,0.7193651865937339,Homogeneous
south,9,141297,0.45,0.5,0.47500000000000003,0.4706978256314324,0.4720441341737812,Homogeneous
south,18,56450,0.9,0.9500000000000001,0.925,0.4706978256314324,0.4720441341737812,Homogeneous
south,15,52558,0.75,0.8,0.775,0.4706978256314324,0.4720441341737812,Homogeneous
south,5,13510,0.25,0.30000000000000004,0.275,0.4706978256314324,0.4720441341737812,Homogeneous
south,0,199645,0,0.05,0.025,0.4706978256314324,0.4720441341737812,Homogeneous
south,7,99126,0.35000000000000003,0.4,0.375,0.4706978256314324,0.4720441341737812,Homogeneous
south,8,65277,0.4,0.45,0.42500000000000004,0.4706978256314324,0.4720441341737812,Homogeneous
south,4,30430,0.2,0.25,0.225,0.4706978256314324,0.4720441341737812,Homogeneous
south,6,31583,0.30000000000000004,0.35000000000000003,0.325,0.4706978256314324,0.4720441341737812,Homogeneous
south,2,15690,0.1,0.15000000000000002,0.125,0.4706978256314324,0.4720441341737812,Homogeneous
south,19,40836,0.9500000000000001,1,0.9750000000000001,0.4706978256314324,0.4720441341737812,Homogeneous
south,12,30060,0.6000000000000001,0.65,0.625,0.4706978256314324,0.4720441341737812,Homogeneous
