wwtp,fate_process,node_id,n,mean_loss_percent,median_loss_percent,q05_loss_percent,q25_loss_percent,q75_loss_percent,q95_loss_percent,model_version
North,Settling / Resuspension,S-MH20008085.1,500,36.28223462701046,36.29703593239492,32.61315279520005,34.776622759431866,37.75883368587295,39.77105498206775,Daily-averaged
North,Settling / Resuspension,S-MH20008092.1,500,35.79656671860642,35.84250365143393,32.355852942016114,34.29133269386378,37.27733049986479,39.09596675239416,Daily-averaged
North,Settling / Resuspension,S-MH20008101.1,500,67.94970126111183,67.63859999989567,61.7342277081246,64.72005868040527,71.22168331282066,74.57836237347776,Daily-averaged
North,Settling / Resuspension,S-MH20008102.1,500,67.16348560806914,66.89668835431112,61.27528916829189,64.13927662398774,70.28734566914272,73.36692696627406,Daily-averaged
North,Settling / Resuspension,S-MH20008106.1,500,35.796566718607295,35.84250365143393,32.355852942016114,34.29133269386378,37.27733049986479,39.09596675239416,Daily-averaged
North,Settling / Resuspension,S-MH20008113.2,500,35.83659599016902,35.856161812458225,32.357296254779975,34.326184946770326,37.31004328264078,39.17837380714037,Daily-averaged
North,Settling / Resuspension,S-MH20008128.1,500,43.856554659481866,44.24422004041776,39.125182336203615,42.191569616148534,45.9235633498468,47.31510868369777,Daily-averaged
North,Settling / Resuspension,S-MH20008129.1,500,35.79899291203945,35.8425131246977,32.35702212551339,34.291333427102046,37.278659541264936,39.09695614568358,Daily-averaged
North,Settling / Resuspension,S-MH20008138.1,500,52.977875314802375,53.074499508159995,46.078094038567066,48.90834896643919,56.67497802840068,60.12028459370074,Daily-averaged
North,Settling / Resuspension,S-MH20008149.1,500,59.55459775746846,60.52391589077081,47.14207782294081,52.71092956203201,66.02084772511196,71.66927447209312,Daily-averaged
North,Settling / Resuspension,S-MH20008159.1,500,53.953784447962974,54.14600366999524,46.50035175340694,47.19615371169979,59.07966494534222,64.00195883035447,Daily-averaged
North,Settling / Resuspension,S-MH20008160.1,500,11.867626282125569,11.081016814846828,9.266427103619387,10.052805841557927,13.841011464693047,15.755294919798747,Daily-averaged
North,Settling / Resuspension,S-MH20008164.2,500,53.9537853951928,54.14600367020175,46.50035175340694,47.19615371180183,59.07966494534222,64.00195883035447,Daily-averaged
North,Settling / Resuspension,S-MH20008173.1,500,11.867626282125569,11.081016814846828,9.266427103619387,10.052805841557927,13.841011464693047,15.755294919798747,Daily-averaged
North,Settling / Resuspension,S-MH20008177.1,500,61.19024734118014,61.454257761212276,56.36797354465591,58.96157871430965,63.51839925409669,65.57564415816715,Daily-averaged
North,Settling / Resuspension,S-MH20008186.1,500,41.76677500401332,41.908365898154415,37.91460282367567,39.99361854687043,43.56130549219497,45.10888042060669,Daily-averaged
North,Settling / Resuspension,S-MH20008195.1,500,41.766775004135845,41.90836589839569,37.91460282367568,39.993618546895426,43.56130549219517,45.10888042060669,Daily-averaged
North,Settling / Resuspension,S-MH20008196.1,500,41.766775004131844,41.908365898354376,37.91460282367568,39.99361854688615,43.56130549219517,45.10888042060669,Daily-averaged
North,Settling / Resuspension,S-MH20008197.1,500,41.76677500401332,41.908365898154415,37.91460282367567,39.99361854687043,43.56130549219497,45.10888042060669,Daily-averaged
North,Settling / Resuspension,S-MH20008198.1,500,41.76677500401332,41.908365898154415,37.91460282367567,39.99361854687043,43.56130549219497,45.10888042060669,Daily-averaged
North,Settling / Resuspension,S-MH20008201.1,500,60.497370390289966,60.55413819063902,55.64124819503853,58.36340965771561,62.70848981543469,64.88080398808948,Daily-averaged
North,Settling / Resuspension,S-MH20008206.1,500,58.56291498843403,58.581119705579894,53.75886229290058,56.532674482585605,60.65547642028136,62.83949643486363,Daily-averaged
North,Settling / Resuspension,S-MH20008213.1,500,11.867626282125569,11.081016814846828,9.266427103619387,10.052805841557927,13.841011464693047,15.755294919798747,Daily-averaged
North,Settling / Resuspension,S-MH20008228.1,500,11.867626282125569,11.081016814846828,9.266427103619387,10.052805841557927,13.841011464693047,15.755294919798747,Daily-averaged
North,Settling / Resuspension,S-MH20008229.1,500,10.348776847667873,10.30010822612638,9.131614624358575,9.72114934532557,10.935933159412386,11.681540803827067,Daily-averaged
North,Settling / Resuspension,S-MH20008230.1,500,9.74066159392556,9.715225961144208,8.423329949010256,9.102903103126536,10.387645721526829,11.025175638805285,Daily-averaged
North,Settling / Resuspension,S-MH20008231.1,500,9.434622015977306,9.449571769168136,8.16872736603986,8.879535594100565,10.034640853348172,10.639724487864111,Daily-averaged
North,Settling / Resuspension,S-MH20008240.1,500,41.766775004135845,41.90836589839569,37.91460282367568,39.993618546895426,43.56130549219517,45.10888042060669,Daily-averaged
North,Settling / Resuspension,S-MH20008281.1,500,12.73656606443624,12.591616159914288,9.409316227387,10.50416146659239,14.940146563544463,16.556800341635615,Daily-averaged
North,Settling / Resuspension,S-MH20008296.1,500,12.736566086151232,12.591616159914288,9.409316227387027,10.504161466700879,14.94014656354462,16.55680034163564,Daily-averaged
North,Settling / Resuspension,S-MH20008297.1,500,27.58857146119352,27.56305214010524,24.63582591966205,26.413792004067208,29.005502762514958,30.18592616784855,Daily-averaged
North,Settling / Resuspension,S-MH20008298.1,500,9.434622015977306,9.449571769168136,8.16872736603986,8.879535594100565,10.034640853348172,10.639724487864111,Daily-averaged
