simulation,location,sample_fraction,effective_surveillance_coverage_percent
59,West,Liquid,56.549118022635525
60,North,Total,82.12345072020194
60,North,Solids,32.84216674955305
60,North,Liquid,51.68166665528597
60,South,Total,89.52714105018075
60,South,Solids,38.57352376709592
60,South,Liquid,52.0963086087774
60,West,Total,85.77295610897897
60,West,Solids,35.70282707581316
60,West,Liquid,51.8316694343339
61,North,Total,82.8590071139097
61,North,Solids,33.36025346196099
61,North,Liquid,52.1694929497886
61,South,Total,89.91534212234193
61,South,Solids,38.760732063790584
61,South,Liquid,52.49282438536703
61,West,Total,86.06360075068234
61,West,Solids,35.87890588224139
61,West,Liquid,52.21001547243428
62,North,Total,84.32554872590671
62,North,Solids,32.14140825965708
62,North,Liquid,53.077653893032604
62,South,Total,90.14975124648326
62,South,Solids,36.89853706020491
62,South,Liquid,53.657469239119656
62,West,Total,87.11252404238047
62,West,Solids,34.40111781231098
62,West,Liquid,53.37536199314143
63,North,Total,78.51276375507399
63,North,Solids,17.679373278081425
63,North,Liquid,64.68498521443702
63,South,Total,85.97265769770112
63,South,Solids,20.874097153851594
63,South,Liquid,66.20710645588127
63,West,Total,82.5042751784374
63,West,Solids,19.241965854616748
63,West,Liquid,65.94744254569983
64,North,Total,76.8424348323424
64,North,Solids,36.974305256380475
64,North,Liquid,46.66111285550622
64,South,Total,87.02473693467998
64,South,Solids,43.274590253322195
64,South,Liquid,47.00563993200412
64,West,Total,81.69944430630855
64,West,Solids,40.00811530133127
64,West,Liquid,46.70649600170849
65,North,Total,77.96066543220958
65,North,Solids,39.5996238500311
65,North,Liquid,41.35199127652669
65,South,Total,87.06460566362114
65,South,Solids,46.314243305220074
65,South,Liquid,41.96389386121072
65,West,Total,82.51761918308216
65,West,Solids,42.90199081317978
65,West,Liquid,41.77653402370095
66,North,Total,80.93324964654212
66,North,Solids,34.23137460316205
66,North,Liquid,49.899877761606064
66,South,Total,88.68941484522746
66,South,Solids,39.96466504304808
66,South,Liquid,50.30331028597891
66,West,Total,84.65807121966469
66,West,Solids,37.019504710024556
66,West,Liquid,50.031543276686506
67,North,Total,83.7850439354694
67,North,Solids,36.60187125159859
67,North,Liquid,47.460845477823035
67,South,Total,90.06577468772545
67,South,Solids,42.287880613376466
67,South,Liquid,47.90661282109193
67,West,Total,86.70000629582258
67,West,Solids,39.33633995661473
67,West,Liquid,47.566696008767
68,North,Total,78.5965929749583
68,North,Solids,47.56817611448972
68,North,Liquid,31.959830351043987
68,South,Total,87.81928788092877
68,South,Solids,56.051538337380144
68,South,Liquid,32.21265624573579
68,West,Total,83.0648137743122
68,West,Solids,51.71992594346294
68,West,Liquid,32.03203109838386
69,North,Total,78.71035579328459
69,North,Solids,45.671056065419975
69,North,Liquid,34.87529726690186
69,South,Total,87.56419442387583
69,South,Solids,53.20408390458068
69,South,Liquid,35.22418398483356
69,West,Total,82.96002300134909
69,West,Solids,49.28816062699067
69,West,Liquid,35.04066674571396
70,North,Total,79.3874057672671
70,North,Solids,42.29298964978224
70,North,Liquid,39.711135512500846
70,South,Total,88.0932565780885
70,South,Solids,49.40119301504203
70,South,Liquid,39.995524105367956
70,West,Total,83.59920416589196
70,West,Solids,45.74575744292249
70,West,Liquid,39.825824671719595
71,North,Total,81.54088289742344
71,North,Solids,27.43330681489499
71,North,Liquid,54.99548781868753
71,South,Total,87.72728590623129
71,South,Solids,31.78749024610592
71,South,Liquid,56.1700231648287
71,West,Total,84.84348302149401
71,West,Solids,29.500597208192957
71,West,Liquid,55.96173624476858
72,North,Total,79.29990393674198
72,North,Solids,37.90361926364496
72,North,Liquid,45.327976687038976
72,South,Total,87.92173006691118
72,South,Solids,43.81085059548732
72,South,Liquid,45.85046127001778
72,West,Total,83.43517008584966
72,West,Solids,40.71448483817382
72,West,Liquid,45.63384053374476
73,North,Total,76.33075008598611
73,North,Solids,28.36915054913191
73,North,Liquid,51.01064287638878
73,South,Total,85.31280511091806
73,South,Solids,32.92672318208882
73,South,Liquid,52.49316615828239
73,West,Total,81.02319773283769
73,West,Solids,30.594678305051914
73,West,Liquid,52.361458283975125
74,North,Total,79.78987575179946
74,North,Solids,40.084783796792394
74,North,Liquid,40.78224545316317
74,South,Total,87.53509601553061
74,South,Solids,46.5841216211613
