wwtp,particle_association_scenario,bin_left_proportion,bin_right_proportion,bin_mid_proportion,flow_path_count,mean_loss_proportion,median_loss_proportion
west,Highly Skewed,0.35000000000000003,0.4,0.375,11693,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.25,0.30000000000000004,0.275,7294,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.5,0.55,0.525,5516,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.95,1,0.975,18438,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.9,0.95,0.925,8384,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.15000000000000002,0.2,0.17500000000000002,49027,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.30000000000000004,0.35000000000000003,0.325,10151,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.7000000000000001,0.75,0.7250000000000001,7856,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.6000000000000001,0.65,0.625,6463,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.4,0.45,0.425,10440,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.55,0.6000000000000001,0.5750000000000001,5681,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.65,0.7000000000000001,0.675,7214,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.8500000000000001,0.9,0.875,7162,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.8,0.8500000000000001,0.8250000000000001,7013,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.45,0.5,0.475,8679,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.75,0.8,0.775,8206,0.18905307471923605,0.06378824793210347
north,Homogeneous,0.8500000000000001,0.9,0.875,426268,0.7077246493629378,0.7193651865937339
north,Homogeneous,0.6000000000000001,0.65,0.625,434807,0.7077246493629378,0.7193651865937339
north,Homogeneous,0.55,0.6000000000000001,0.5750000000000001,216032,0.7077246493629378,0.7193651865937339
north,Homogeneous,0.5,0.55,0.525,371325,0.7077246493629378,0.7193651865937339
north,Homogeneous,0.7000000000000001,0.75,0.7250000000000001,451780,0.7077246493629378,0.7193651865937339
north,Homogeneous,0.9,0.95,0.925,311452,0.7077246493629378,0.7193651865937339
north,Homogeneous,0.8,0.8500000000000001,0.8250000000000001,349576,0.7077246493629378,0.7193651865937339
north,Homogeneous,0.75,0.8,0.775,419488,0.7077246493629378,0.7193651865937339
north,Homogeneous,0.65,0.7000000000000001,0.675,334181,0.7077246493629378,0.7193651865937339
north,Homogeneous,0.45,0.5,0.475,376769,0.7077246493629378,0.7193651865937339
north,Homogeneous,0.95,1,0.975,280961,0.7077246493629378,0.7193651865937339
north,Homogeneous,0,0.05,0.025,4500,0.7077246493629378,0.7193651865937339
north,Homogeneous,0.4,0.45,0.425,207046,0.7077246493629378,0.7193651865937339
north,Homogeneous,0.35000000000000003,0.4,0.375,6315,0.7077246493629378,0.7193651865937339
south,Homogeneous,0.45,0.5,0.475,141297,0.4706978256314324,0.4720441341737812
south,Homogeneous,0.9,0.95,0.925,56450,0.4706978256314324,0.4720441341737812
south,Homogeneous,0.75,0.8,0.775,52558,0.4706978256314324,0.4720441341737812
south,Homogeneous,0.25,0.30000000000000004,0.275,13510,0.4706978256314324,0.4720441341737812
south,Homogeneous,0,0.05,0.025,199645,0.4706978256314324,0.4720441341737812
south,Homogeneous,0.35000000000000003,0.4,0.375,99126,0.4706978256314324,0.4720441341737812
south,Homogeneous,0.4,0.45,0.425,65277,0.4706978256314324,0.4720441341737812
