wwtp,particle_class,hydraulic_level,bin_left_proportion,bin_right_proportion,bin_mid_proportion,observation_count
north,8,Pipe,0.05,0.1,0.07500000000000001,4621
north,8,Pipe,0.7000000000000001,0.75,0.7250000000000001,11147
north,8,Pipe,0.2,0.25,0.225,3739
north,5,Pipe,0.8,0.8500000000000001,0.8250000000000001,55422
north,7,Pipe,0.45,0.5,0.475,12001
north,2,Pipe,0.45,0.5,0.475,25850
north,6,Pipe,0.1,0.15000000000000002,0.125,22473
south,1,Pipe,0.1,0.15000000000000002,0.125,6015
south,2,Pipe,0.8500000000000001,0.9,0.875,5938
south,6,Pipe,0.5,0.55,0.525,3538
south,4,Pipe,0.15000000000000002,0.2,0.17500000000000002,4065
south,5,Pipe,0.6000000000000001,0.65,0.625,5078
north,7,Pipe,0.2,0.25,0.225,8731
south,7,Pipe,0.5,0.55,0.525,1668
south,8,Pipe,0.8,0.8500000000000001,0.8250000000000001,2790
south,3,Pipe,0.5,0.55,0.525,3718
south,3,Pipe,0.35000000000000003,0.4,0.375,4305
south,4,Pipe,0.9,0.95,0.925,12230
south,3,Pipe,0.1,0.15000000000000002,0.125,4747
south,4,Pipe,0.45,0.5,0.475,3661
south,5,Pipe,0.75,0.8,0.775,7190
south,1,Pipe,0.15000000000000002,0.2,0.17500000000000002,4867
south,2,Pipe,0.9,0.95,0.925,7728
south,6,Pipe,0.1,0.15000000000000002,0.125,2583
south,7,Pipe,0.6000000000000001,0.65,0.625,2064
south,2,Pipe,0.15000000000000002,0.2,0.17500000000000002,5045
west,3,Pipe,0.5,0.55,0.525,2608
west,7,Pipe,0.15000000000000002,0.2,0.17500000000000002,640
north,8,Pipe,0.6000000000000001,0.65,0.625,8492
north,8,Pipe,0.75,0.8,0.775,12333
north,1,Pipe,0.8,0.8500000000000001,0.8250000000000001,9075
west,4,Pipe,0.8,0.8500000000000001,0.8250000000000001,4049
west,4,Pipe,0.75,0.8,0.775,3597
west,1,Pipe,0.4,0.45,0.425,3146
west,2,Pipe,0.95,1,0.975,52533
west,3,Pipe,0.95,1,0.975,104334
west,5,Pipe,0.25,0.30000000000000004,0.275,1885
west,6,Pipe,0.7000000000000001,0.75,0.7250000000000001,1800
west,4,Pipe,0.15000000000000002,0.2,0.17500000000000002,2428
west,1,Pipe,0.8,0.8500000000000001,0.8250000000000001,2148
west,1,Pipe,0.05,0.1,0.07500000000000001,7505
west,2,Pipe,0.65,0.7000000000000001,0.675,3329
west,3,Pipe,0.9,0.95,0.925,7436
south,8,Pipe,0.4,0.45,0.425,970
south,6,Pipe,0.55,0.6000000000000001,0.5750000000000001,3703
south,6,Pipe,0.2,0.25,0.225,2813
south,7,Pipe,0.8500000000000001,0.9,0.875,5170
south,3,Pipe,0.8,0.8500000000000001,0.8250000000000001,4865
south,6,Pipe,0.65,0.7000000000000001,0.675,3987
south,3,Pipe,0.45,0.5,0.475,4034
south,2,Pipe,0.35000000000000003,0.4,0.375,3620
north,2,Pipe,0.30000000000000004,0.35000000000000003,0.325,29873
north,3,Pipe,0.7000000000000001,0.75,0.7250000000000001,34952
south,5,Pipe,0.05,0.1,0.07500000000000001,4962
south,6,Pipe,0.4,0.45,0.425,2998
west,1,Pipe,0.35000000000000003,0.4,0.375,3232
west,1,Pipe,0.25,0.30000000000000004,0.275,3854
south,6,Pipe,0.7000000000000001,0.75,0.7250000000000001,4169
south,7,Pipe,0.7000000000000001,0.75,0.7250000000000001,2268
south,4,Pipe,0.7000000000000001,0.75,0.7250000000000001,4593
west,2,Pipe,0.05,0.1,0.07500000000000001,5571
west,3,Pipe,0.15000000000000002,0.2,0.17500000000000002,2713
west,4,Pipe,0.5,0.55,0.525,2376
west,5,Pipe,0.75,0.8,0.775,2926
north,2,Pipe,0.4,0.45,0.425,26760
north,3,Pipe,0.8500000000000001,0.9,0.875,52277
north,7,Pipe,0.6000000000000001,0.65,0.625,13730
north,1,Pipe,0.65,0.7000000000000001,0.675,13443
south,1,Pipe,0.4,0.45,0.425,3126
north,1,Pipe,0.2,0.25,0.225,35475
west,5,Pipe,0.30000000000000004,0.35000000000000003,0.325,2037
west,6,Pipe,0.6000000000000001,0.65,0.625,1519
north,8,Pipe,0.1,0.15000000000000002,0.125,3507
south,4,Pipe,0.4,0.45,0.425,3677
south,5,Pipe,0.7000000000000001,0.75,0.7250000000000001,6018
west,2,Pipe,0.35000000000000003,0.4,0.375,2693
west,3,Pipe,0.65,0.7000000000000001,0.675,3295
west,2,Pipe,0.5,0.55,0.525,2566
west,3,Pipe,0.75,0.8,0.775,3667
west,4,Pipe,0.4,0.45,0.425,2321
west,4,Pipe,0.35000000000000003,0.4,0.375,2390
west,5,Pipe,0.7000000000000001,0.75,0.7250000000000001,2677
west,4,Pipe,0.2,0.25,0.225,2410
west,2,Pipe,0.15000000000000002,0.2,0.17500000000000002,3716
west,2,Pipe,0.1,0.15000000000000002,0.125,4423
west,3,Pipe,0.25,0.30000000000000004,0.275,2378
west,4,Pipe,0.7000000000000001,0.75,0.7250000000000001,3174
west,5,Pipe,0.9,0.95,0.925,6046
west,2,Pipe,0.8500000000000001,0.9,0.875,5723
west,3,Pipe,0.1,0.15000000000000002,0.125,4915
west,4,Pipe,0.45,0.5,0.475,2161
west,3,Pipe,0.35000000000000003,0.4,0.375,2147
west,4,Pipe,0.8500000000000001,0.9,0.875,5195
west,2,Pipe,0.4,0.45,0.425,2797
west,3,Pipe,0.7000000000000001,0.75,0.7250000000000001,3648
west,1,Pipe,0.15000000000000002,0.2,0.17500000000000002,5127
west,2,Pipe,0.9,0.95,0.925,7222
west,2,Pipe,0.2,0.25,0.225,3189
west,5,Pipe,0.05,0.1,0.07500000000000001,1294
west,6,Pipe,0.45,0.5,0.475,1096
west,7,Pipe,0.9,0.95,0.925,2845
west,3,Pipe,0.30000000000000004,0.35000000000000003,0.325,2304
west,2,Pipe,0.25,0.30000000000000004,0.275,2983
west,3,Pipe,0.45,0.5,0.475,2330
west,5,Pipe,0.65,0.7000000000000001,0.675,2532
west,6,Pipe,0.9,0.95,0.925,5810
west,2,Pipe,0.30000000000000004,0.35000000000000003,0.325,2757
west,3,Pipe,0.55,0.6000000000000001,0.5750000000000001,2676
west,4,Pipe,0.9,0.95,0.925,7490
north,7,Pipe,0.55,0.6000000000000001,0.5750000000000001,12925
west,5,Pipe,0.6000000000000001,0.65,0.625,2546
west,1,Pipe,0.2,0.25,0.225,4308
west,4,Pipe,0.1,0.15000000000000002,0.125,2180
west,5,Pipe,0.35000000000000003,0.4,0.375,2053
west,6,Pipe,0.65,0.7000000000000001,0.675,1681
north,1,Pipe,0.4,0.45,0.425,20558
south,7,Pipe,0.25,0.30000000000000004,0.275,1239
south,8,Pipe,0.65,0.7000000000000001,0.675,1489
south,3,Pipe,0.15000000000000002,0.2,0.17500000000000002,4884
south,4,Pipe,0.5,0.55,0.525,3779
south,1,Pipe,0.5,0.55,0.525,3232
south,2,Pipe,0.55,0.6000000000000001,0.5750000000000001,3247
south,3,Pipe,0.8500000000000001,0.9,0.875,6216
south,5,Pipe,0.8500000000000001,0.9,0.875,10861
south,4,Pipe,0.55,0.6000000000000001,0.5750000000000001,3720
south,2,Pipe,0.4,0.45,0.425,3430
south,3,Pipe,0.9,0.95,0.925,7773
south,3,Pipe,0.2,0.25,0.225,4551
south,4,Pipe,0.65,0.7000000000000001,0.675,4143
south,5,Pipe,0.35000000000000003,0.4,0.375,3897
