simulation,location,sample_fraction,minimum_detectable_prevalence_percent
26,North,Liquid,0.13816743278126103
26,South,Total,0.06365937889694433
26,South,Solids,0.12315418541393353
26,South,Liquid,0.13219112473846958
26,West,Total,0.06334638147061146
26,West,Solids,0.12561498271599347
26,West,Liquid,0.12641803465416834
27,North,Total,0.0643173995903547
27,North,Solids,0.18020330350208222
27,North,Liquid,0.09942389496426693
27,South,Total,0.059352100265603634
27,South,Solids,0.14883427970317079
27,South,Liquid,0.09850421106673418
27,West,Total,0.059500661416277495
27,West,Solids,0.1520988823027944
27,West,Liquid,0.09775932164645888
28,North,Total,0.07306538084896105
28,North,Solids,0.18650332016064247
28,North,Liquid,0.10182182443902424
28,South,Total,0.06286074512389901
28,South,Solids,0.1520062765812985
28,South,Liquid,0.10024390312463019
28,West,Total,0.06368104190363105
28,West,Solids,0.15588068058865281
28,West,Liquid,0.09885505728818246
29,North,Total,0.06934127387856032
29,North,Solids,0.16596126326342794
29,North,Liquid,0.10919605498032835
29,South,Total,0.06142389854529873
29,South,Solids,0.13640892109167604
29,South,Liquid,0.10776199835068366
29,West,Total,0.06192258081186201
29,West,Solids,0.13976501000290437
29,West,Liquid,0.1064748569342099
30,North,Total,0.07089517312169462
30,North,Solids,0.15732458621107043
30,North,Liquid,0.1222069867268722
30,South,Total,0.06274635149538911
30,South,Solids,0.13180829453710757
30,South,Liquid,0.11835016946349199
30,West,Total,0.06276669734571064
30,West,Solids,0.1343266580361486
30,West,Liquid,0.11469041534885828
31,North,Total,0.07107074155791909
31,North,Solids,0.18416833695028795
31,North,Liquid,0.10742912658040077
31,South,Total,0.06249674256220655
31,South,Solids,0.14852054257960956
31,South,Liquid,0.10505859054162855
31,West,Total,0.06270766377230406
31,West,Solids,0.15235427295878587
31,West,Liquid,0.10277680947806767
32,North,Total,0.07367811204399637
32,North,Solids,0.18163724225228434
32,North,Liquid,0.12308333517093877
32,South,Total,0.06523709217123796
32,South,Solids,0.14928133376941602
32,South,Liquid,0.1165877851496186
32,West,Total,0.06430704360428185
32,West,Solids,0.152897893836161
32,West,Liquid,0.11054980959549522
33,North,Total,0.06514139506789128
33,North,Solids,0.214458421416859
33,North,Liquid,0.09203462545750647
33,South,Total,0.06031882496870888
33,South,Solids,0.17889206112545053
