,us_node_id,ds_node_id,geometry,depth,flow,vol,conduit_height,conduit_width,conduit_shape,conduit_length,conduit_material,conduit_volume,conduit_xs,flow_xs,flow_perimeter,flow_area,flow_volume,flow_velocity,residence_time,conduit_av,conduit_hrt,conduit_hrt_inv,conduit_roughness,conduit_ff,conduit_ss
320X0000331.1,320X0000331,S-MH20014905,"LINESTRING (632908 5528192.6, 632907.6 5528193.7)",0.063914,0.001054,0.07618,0.45,0.45,CIRC,1.2,UNKN,0.1908517537055799,0.15904312808798327,0.013820011943172311,0.34777347222132593,0.4173281666655911,0.016584014331806774,0.07626621484366532,15.734358948583274,25.164484202428,0.004370655263495354,228.79864453099594,1.0,0.024090558084295017,0.014012358695244377
320X0000332.1,320X0000332,320X0000331,"LINESTRING (632909.6 5528188.3, 632908 5528192.6)",0.053503999999999996,0.001054,0.09980199999999999,0.441,0.441,CIRC,4.6,POLYF,0.7026270929922159,0.15274502021569913,0.010550231225570778,0.3137929753867412,1.4434476867790096,0.04853106363762557,0.09990302368401197,46.0446524076144,29.742758113793354,0.012790181224337331,78.18497505705285,0.0015,0.0068606069721213175,0.006847307096322598
320X0000333.1,320X0000333,320X0000334,"LINESTRING (633029.5429999996 5527807.573000001, 633022.0700000003 5527804.743000001)",0.035,0.0,0.0,0.35,0.35,CIRC,7.99,POLYF,0.7687280873793374,0.09621127501618741,0.005007221456794331,0.22522538807764958,1.79955085074042,0.0400076994397867,0.0,inf,44.980113226675805,0.0,0.0,0.0015,0.007094570423248069,0.0
320X0000334.1,320X0000334,S-MH20012685,"LINESTRING (633022.0700000003 5527804.743000001, 633014.3426000001 5527801.816299999, 633012.7750000004 5527801.2226)",0.0375,0.0,0.0,0.375,0.375,CIRC,9.94,CO,1.0978393702739957,0.11044661672776616,0.005748085856013899,0.2413129157974816,2.398650383026967,0.05713597340877815,0.0,inf,41.98143901156408,0.0,0.0,1.0,0.025319973121937987,0.0
320X0000335.1,320X0000335,S-MH70046435,"LINESTRING (633399.0640000002 5528303.706, 633398.8849 5528304.1645, 633398.8316000002 5528304.2743999995, 633398.7341999998 5528304.4377999995, 633398.6419000002 5528304.5638999995, 633398.5382000003 5528304.682600001, 633397.8392000003 5528305.4166, 633397.1533000004 5528306.136700001, 633396.8775000004 5528306.4264, 633396.8081999999 5528306.5034, 633396.7286 5528306.604, 633396.6304000001 5528306.7521, 633396.5280999998 5528306.9505, 633396.4117 5528307.2466, 633396.3101000004 5528307.5101, 633395.1134000001 5528310.611099999, 633384.4089000002 5528338.3499, 633380.0263 5528349.706599999)",0.02,0.0,0.0,0.3,0.3,CIRC,49.99,PVC,3.5335848769414597,0.07068583470577035,0.002023774285023844,0.15669444654181464,7.833155382625314,0.10116847650834196,0.0,inf,77.42683939675045,0.0,0.0,0.0015,0.007257340448485058,0.0
320X0001590.1,320X0001590,S-MH20013019,"LINESTRING (632124.8 5527452.4, 632125.3 5527476.8)",0.04820000000000001,0.00097,0.105958,0.45,0.45,CIRC,24.4,CONC,3.8806523253467913,0.15904312808798327,0.0091546773671429,0.3000796639938652,7.321943801450311,0.22337412775828674,0.10595676517027593,230.28260593637805,32.77883555687966,0.06396739053788279,15.632965352991532,1.0,0.024090558084295017,0.02704607468169593
320X0001592.1,320X0001592,S-MH20013360,"LINESTRING (632797 5527365.3, 632794 5527372.2)",0.228544,0.0011279999999999999,0.010520000000000002,0.68,0.68,CIRC,7.5,CONC,2.7237608306623504,0.36316811075498007,0.10717414935572861,0.8410307373768049,6.307730530326037,0.8038061201679646,0.010524926083210444,712.5940781630892,7.847328319679829,0.19794279948974702,5.051964519941013,1.0,0.021617260151140513,0.00023946318688065145
320X0001602.1,320X0001602,S-MH20013428,"LINESTRING (632811.8 5527537.3, 632796.6 5527537.8)",0.049018,0.001206,0.12847400000000003,0.45,0.45,CIRC,15.2,CONC,2.4174555469373455,0.15904312808798327,0.009383197173689517,0.3027149469204631,4.601267193191038,0.14262459704008065,0.12852761992272993,118.2625182753571,32.26138610507682,0.03285069952093252,30.440752086962355,1.0,0.024090558084295017,0.03979603385987986
320X0001603.1,320X0001603,320X0001602,"LINESTRING (632818.4 5527537, 632811.8 5527537.3)",0.049018,0.001206,0.12984600000000002,0.441,0.441,CIRC,6.6,POLYF,1.0081171334236143,0.15274502021569913,0.009282213397311029,0.29979342518620467,1.9786366062289507,0.061262608422252784,0.12992590758033715,50.798182771353886,32.29762259861985,0.014110606325376078,70.86867686200209,0.0015,0.0068606069721213175,0.01158121325589935
320X0001605.1,320X0001605,S-CO70027418,"LINESTRING (632319.4189999998 5526961.442, 632319.5425000004 5526967.081900001, 632319.7624000004 5526977.137399999, 632319.8086000001 5526979.2491999995, 632319.8104999997 5526979.336999999)",0.02,0.0,0.0,0.3,0.3,CIRC,17.9,VC,1.265276441233289,0.07068583470577035,0.002023774285023844,0.15669444654181464,2.804830593098482,0.0362255597019268,0.0,inf,77.42683939675047,0.0,0.0,0.5,0.022325259287691485,0.0
320X0001607.1,320X0001607,S-MH20013201,"LINESTRING (632224.3629999999 5527840.710000001, 632203.6233000001 5527831.400900001)",0.02,0.0,0.0,0.3,0.3,CIRC,22.73,UNKN,1.60668902286216,0.07068583470577035,0.002023774285023844,0.15669444654181464,3.561664769895447,0.04600038949859197,0.0,inf,77.42683939675047,0.0,0.0,1.0,0.026957107444510676,0.0
320X0001608.1,320X0001608,320X0001607,"LINESTRING (632226.6449999996 5527841.733999999, 632224.3629999999 5527840.710000001)",0.02,0.0,0.0,0.3,0.3,CIRC,2.5,POLYF,0.17671458676442586,0.07068583470577035,0.002023774285023844,0.15669444654181464,0.3917361163545366,0.0050594357125596096,0.0,inf,77.42683939675045,0.0,0.0,0.0015,0.007257340448485058,0.0
320X0001609.1,320X0001609,320X0001608,"LINESTRING (632231.8260000004 5527844.0600000005, 632226.6449999996 5527841.733999999)",0.02,0.0,0.0,0.3,0.3,CIRC,5.68,UNKN,0.40149554112877556,0.07068583470577035,0.002023774285023844,0.15669444654181464,0.890024456357507,0.011495037938935432,0.0,inf,77.42683939675045,0.0,0.0,1.0,0.026957107444510676,0.0
320X0001610.1,320X0001610,320X0001609,"LINESTRING (632232.7620000001 5527844.48, 632231.8260000004 5527844.0600000005)",0.0294,0.0,0.0,0.294,0.294,CIRC,1.03,POLYF,0.06992327592096449,0.06788667565142184,0.003533095459914079,0.18918932598522553,0.1948650057647823,0.0036390883237115016,0.0,inf,53.5477538412807,0.0,0.0,0.0015,0.007279087220988602,0.0
320X0001611.1,320X0001611,S-MH20012376,"LINESTRING (632215.4759999998 5526888.384, 632215.6 5526893.1)",0.02,0.0,0.0,0.3,0.3,CIRC,4.7,VC,0.33222342311712066,0.07068583470577035,0.002023774285023844,0.15669444654181464,0.7364638987465288,0.009511739139612067,0.0,inf,77.42683939675045,0.0,0.0,0.5,0.022325259287691485,0.0
320X0001612.1,320X0001612,320X0001611,"LINESTRING (632215.3650000002 5526883.176999999, 632215.4759999998 5526888.384)",0.02,0.0,0.0,0.294,0.294,CIRC,5.21,POLYF,0.3536895801439078,0.06788667565142184,0.0020025788022950686,0.15515660691350364,0.808365922019354,0.010433435559957308,0.0,inf,77.47840271538148,0.0,0.0,0.0015,0.007279087220988602,0.0
320X0001613.1,320X0001613,320X0001612,"LINESTRING (632215.3399999999 5526881.98, 632215.3650000002 5526883.176999999)",0.02,0.0,0.0,0.3,0.3,CIRC,1.2,VC,0.08482300164692441,0.07068583470577035,0.002023774285023844,0.15669444654181464,0.18803333585017756,0.0024285291420286124,0.0,inf,77.42683939675047,0.0,0.0,0.5,0.022325259287691485,0.0
320X0001614.1,320X0001614,320X0001613,"LINESTRING (632215.2759999996 5526878.977, 632215.3399999999 5526881.98)",0.02,0.0,0.0,0.294,0.294,CIRC,3.0,POLYF,0.20366002695426552,0.06788667565142184,0.0020025788022950686,0.15515660691350364,0.4654698207405109,0.006007736406885206,0.0,inf,77.47840271538148,0.0,0.0,0.0015,0.007279087220988602,0.0
320X0001615.1,320X0001615,S-CO20005443,"LINESTRING (631798.5499999998 5527468.127, 631798.9952999996 5527468.325200001, 631806.8060999997 5527471.8027, 631814.0231999997 5527475.015799999, 631815.2106999997 5527475.544500001, 631839.2372000003 5527486.2414, 631847.1849999996 5527489.7798999995, 631856.1042 5527493.7508000005)",0.0225,0.0,0.0,0.45,0.45,CIRC,63.0,PVC,10.019717069542946,0.15904312808798327,0.002972999035678603,0.20296206530831795,12.78661011442403,0.18729893924775198,0.0,inf,68.26845985235605,0.0,0.0,0.0015,0.006840707038020144,0.0
320X0001622.1,320X0001622,S-CO70055260,"LINESTRING (632690.4100000001 5527328.225, 632690.6151 5527337.2009, 632690.6288999999 5527337.8007, 632690.9354999997 5527351.1972, 632691.1506000003 5527360.5944, 632691.1688999999 5527361.3945, 632691.2781999996 5527366.1713)",0.02,0.0,0.0,0.375,0.375,CIRC,37.96,UNKN,4.192553570986004,0.11044661672776616,0.002272091246372912,0.174782849242062,6.6347569572286735,0.08624858371231574,0.0,inf,76.92598152520472,0.0,0.0,1.0,0.025319973121937987,0.0
320X0001623.1,320X0001623,S-MH20013354,"LINESTRING (632691.352 5527369.385, 632691.4737999998 5527374.7147, 632691.6173999999 5527380.989399999, 632691.6403000001 5527381.9892, 632691.9812000003 5527396.885299999, 632691.9949000003 5527397.485099999, 632692.3289999999 5527412.0813, 632692.3748000003 5527414.080700001, 632692.7 5527426.5)",0.049934,0.0,3.2000000000000005e-05,0.375,0.375,CIRC,57.11,UNKN,6.307606281322726,0.11044661672776616,0.008737560650858914,0.2801499218990704,15.99936203965591,0.4990020887705526,0.0,inf,32.062715567133864,0.0,0.0,1.0,0.025319973121937987,0.0
320X0001624.1,320X0001624,S-CO70055642,"LINESTRING (631947.2029999997 5528945.718, 631947.1403999999 5528942.9792, 631947.0777000003 5528940.2367, 631947.0292999996 5528938.120200001, 631946.9661999997 5528935.361199999, 631946.9523 5528934.751700001, 631946.9379000003 5528934.121200001, 631946.7885999996 5528927.5908, 631946.7746000001 5528926.9813, 631946.7527000001 5528926.0233, 631946.6179 5528920.1252, 631946.6039000005 5528919.515699999, 631946.5698999995 5528918.0254, 631946.5515999999 5528917.2256000005, 631946.5470000003 5528917.025699999, 631946.5318999998 5528916.3631, 631946.4436999997 5528912.507200001, 631946.4298 5528911.897700001, 631946.4007000001 5528910.6274, 631946.3823999995 5528909.8276, 631946.2659999998 5528904.7368, 631946.2521000002 5528904.1274, 631946.2407 5528903.6292, 631946.0953000002 5528897.271199999, 631946.0813999996 5528896.661699999, 631946.0780999996 5528896.5165)",0.02,0.0,0.0,0.375,0.375,CIRC,49.21,CO,5.435078009173373,0.11044661672776616,0.002272091246372912,0.174782849242062,8.60106401120187,0.11180961023401101,0.0,inf,76.92598152520472,0.0,0.0,1.0,0.025319973121937987,0.0
320X0001625.1,320X0001625,S-MH20015806,"LINESTRING (631945.9929999998 5528892.817, 631945.8794999998 5528887.8333, 631945.7470000004 5528882.0352, 631945.733 5528881.425799999, 631945.699 5528879.9354, 631945.6875 5528879.4355, 631945.5680999998 5528874.2129999995, 631945.5184000004 5528872.0374, 631945.3847000003 5528866.1896, 631945.3172000004 5528863.239700001, 631945.2701000003 5528861.178200001, 631945.2669000002 5528861.0403, 631945.2226999998 5528859.105, 631945.1522000004 5528854.761700001)",0.02,0.0,0.0,0.375,0.375,CIRC,38.07,CO,4.204702698826058,0.11044661672776616,0.002272091246372912,0.174782849242062,6.6539830706453005,0.08649851374941676,0.0,inf,76.92598152520472,0.0,0.0,1.0,0.025319973121937987,0.0
320X0001626.1,320X0001626,S-MH20015797,"LINESTRING (631942.7 5528750.8, 631940.6 5528657.9)",0.0225,0.0,0.0,0.45,0.45,CIRC,92.9,CONC,14.775106599373647,0.15904312808798327,0.002972999035678603,0.20296206530831795,18.855175867142737,0.2761916104145422,0.0,inf,68.26845985235605,0.0,0.0,1.0,0.024090558084295017,0.0
320X0001627.1,320X0001627,S-CO70055682,"LINESTRING (631937.9 5528539, 631937.8 5528534.4)",0.03,0.0,0.0,0.6,0.6,CIRC,4.6,CONC,1.3006193585861743,0.2827433388230814,0.0052853316189842015,0.2706160870777574,1.2448340005576841,0.024312525447327326,0.0,inf,51.201344889266885,0.0,0.0,1.0,0.022325259287691485,0.0
